№,Назвaние,Тикер,isin,RIC,Нaзвание,"Капитал, млрд $",Биржа,№ ,Сектор,№  ,Отрасль,"Объем, млн. шт","Цена, $",  ,MAX,MIN,CP,MAX ,MIN ,CP , MAX , MIN , CP , MAX  , MIN  , CP  ,  MAX  ,  MIN  ,  CP  ,  MAX   ,  MIN   ,  CP   ,   MAX   ,   MIN   ,   CP   , ,Описание,Рост/Спад
159,US,DASTF,FR0014003TT8,DASTF.PK,Dassault Systemes SE,29.558128,PNK,11,Технология,2,Программное обеспечение,0.0,22.01,,22.84,0.0,16.83,38.4,25.42,31.05,44.78,25.42,34.73,53.39,25.42,37.71,53.39,25.42,39.05,64.47,25.42,42.05,64.47,14.02,38.03,,"Dassault Systemes SE — французская компания-разработчик программного обеспечения, которая предоставляет различные виды трехмерных (3D) решений. Ее продукт, 3DEXPERIENCE, представляет собой платформу для бизнес-опыта, разделенную на четыре квадранта и охватывающую двенадцать брендов: приложения для социальных сетей и совместной работы (включая ENOVIA, 3DEXCITE, CENTRIC PLM), приложения для 3D-моделирования (включая SOLIDWORKS, CATIA, GEOVIA, BIOVIA); Приложения моделирования (включая 3DVIA, DELMIA, SIMULIA) и приложения информационного анализа (включая NETVIBES, EXALEAD, MEDIADATA). Структура компании разделена на три сектора: Промышленная промышленность (Транспорт и мобильность; Аэрокосмическая промышленность и оборона; Морское и оффшорное оборудование; Промышленное оборудование; Высокие технологии; Дом и образ жизни; Потребительские товары и розничная торговля); Науки о жизни и здравоохранение (Науки о жизни) - (Науки о жизни) Инфраструктура и города (Энергетика и материалы; Строительство, города и территории; Деловые услуги).",
174,US,CYBR,IL0011334468,CYBR.O,Cyberark Software Ltd,20.637502,NSQ,12,Технология,3,Программное обеспечение,0.0,408.85,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"CyberArk Software Ltd — израильский поставщик решений по обеспечению безопасности информационных технологий (ИТ), которые защищают организации от кибератак. Программные решения компании ориентированы на защиту привилегированных учетных записей, которые стали важной целью в жизненном цикле кибератак. Решение компании по обеспечению безопасности привилегированных учетных записей состоит из различных продуктов, таких как технологическая платформа Shares, хранилище корпоративных паролей, диспетчер ключей SSH, диспетчер привилегированных сеансов, анализ привилегированных угроз, диспетчер идентификации приложений, CyberArk-Conjur, диспетчер привилегий конечных точек и диспетчер привилегий по требованию. Продукты компании защищают от внешних и внутренних киберугроз, позволяют обнаруживать и нейтрализовать атаки. Корпоративное хранилище паролей компании предоставляет клиентам инструмент для управления и защиты всех привилегированных учетных записей во всей организации, включая физические, виртуальные или облачные активы.",
215,US,DAY,US15677J1088,DAY.N,Dayforce Inc,11.180043,NYS,13,Технология,4,Программное обеспечение,0.0,69.86,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,"Dayforce, Inc. — глобальная компания-разработчик программного обеспечения для управления человеческим капиталом (HCM). The Company’s Dayforce, which is a flagship cloud HCM platform, provides a full suite of HCM functionality, including global human resources (HR), payroll and tax, workforce management, benefits, and talent intelligence functionality. Компания также продает Powerpay, облачное решение для управления персоналом и расчета заработной платы для канадского рынка малого бизнеса, как через прямые продажи, так и через установленные партнерские каналы. Dayforce Human Resources предоставляет специалистам по персоналу, менеджерам и сотрудникам единую полную запись всей их кадровой информации. Dayforce Workforce Management помогает организациям управлять своей рабочей силой, настраивая систему в соответствии со сложными правилами и политиками занятости и рабочего времени. Dayforce Wallet — это цифровое платежное решение, которое дает сотрудникам мгновенный доступ к их чистым доходам. Компания также предлагает расчет заработной платы и связанные с ней услуги с использованием устаревших и локальных технологий.",
217,US,CFLT,US20717M1036,CFLT.O,Confluent Inc,11.133731,NSQ,14,Технология,5,Программное обеспечение,0.0,30.99,,0.0,0.0,0.0,30.33,15.64,22.73,37.9,15.64,24.18,37.9,15.64,25.35,41.22,14.69,25.97,94.97,14.69,31.51,94.97,14.69,31.51,,"Confluent, Inc. предоставляет платформу потоковой передачи данных, которая позволяет клиентам подключать свои приложения, системы и уровни данных и может быть развернута как полностью управляемое облачное предложение программного обеспечения как услуги (SaaS) Confluent Cloud, как самостоятельно управляемое программное обеспечение Confluent Platform или как предложение управляемых услуг «Принеси свое собственное облако» (BYOC), где необработанные данные находятся внутри собственной облачной среды клиента, WarpStream. Компания также предлагает профессиональные услуги и образовательные услуги. Компания сосредоточена на разработке категории инфраструктуры данных, ориентированной на данные в движении, для разработчиков и предприятий. Его облачное предложение работает в мультиоблачных и гибридных инфраструктурах и поддерживает различные модели развертывания для удовлетворения разнообразных требований клиентов, обеспечивая масштабируемость, эластичность, безопасность и глобальную взаимосвязанность, обеспечивая гибкую разработку. WarpStream предлагает более дешевый вариант использования для клиентов с уменьшенной задержкой.",
241,US,CSXXY,US14575D1072,CSXXY.PK,CAR Group Ltd,6.793226,PNK,15,Технология,4,Онлайн-сервисы,0.0,36.78,,38.24,0.0,15.86,57.95,40.0,48.34,57.95,36.0,46.2,57.95,36.0,46.39,57.95,18.96,41.51,57.95,18.96,34.17,57.95,11.06,26.29,,"CAR Group Limited — это глобальная цифровая торговая площадка со штаб-квартирой в Австралии. Компания поставляет технологические и рекламные решения, предназначенные для того, чтобы сделать покупку и продажу приятным опытом, с помощью цифровых торговых площадок в Австралии (продажа автомобилей), Южной Корее (Encar), Северной Америке (Trader Interactive), Бразилии (webmotors) и Чили (chileautos). Сегменты компании включают услуги онлайн-рекламы в Австралии; Австралия-данные, исследования и услуги; Инвестиции, Северная Америка, Латинская Америка и Азия. Сегмент онлайн-рекламы в Австралии включает онлайн-объявления об автомобилях, услуги по рекламе и финансовые комиссии. Сегмент «Австралия-данные, исследования и услуги» включает услуги автомобильных данных, включая программное обеспечение, анализ, исследования и отчетность, услуги по оценке, разработку веб-сайтов, услуги хостинга и фотографии. Сегмент «Инвестиции» состоит из розничной и оптовой онлайн-продажи шин, а также услуг по инспекции.",
254,US,TMSNY,US87974R2085,TMSNY.PK,Temenos AG,6.693169,PNK,16,Технология,6,Программное обеспечение,0.0,93.06,,102.74,83.06,93.16,103.31,70.21,86.43,103.31,68.85,82.33,103.63,55.28,77.45,103.63,55.28,77.25,170.18,52.1,92.73,184.7,52.1,111.67,,"Temenos AG, ранее Temenos Group AG, — швейцарская компания, занимающаяся разработкой и маркетингом банковского программного обеспечения. Его услуги включают внедрение, оптимизацию производительности, интеграцию, администрирование, обслуживание, обновления, обучение и поддержку своих программных решений. Он предлагает решения для розничного, корпоративного, универсального, исламского, микрофинансового и общественного банковского секторов, а также для управления частным капиталом. Клиентская база Компании состоит в основном из банковских и других финансовых учреждений. Ее основными продуктами являются Temenos T24 Core Banking (T24), фронт-бэк-офис, программная платформа управления взаимоотношениями с клиентами (CRM) и управления жизненным циклом продуктов, а также Front Office, интегрированное, ориентированное на конкретные роли и многоканальное решение, которое поддерживает ежедневное взаимодействие банков и долгосрочные отношения с их розничными, корпоративными, состоятельными и состоятельными клиентами. Он также предлагает решения для фондов и ценных бумаг.",
255,US,KGDEY,US49567R1023,KGDEY.PK,Kingdee International Software Group Co Ltd,3.728081,PNK,17,Технология,1,ИТ-услуги и консалтинг,0.0,105.2,,122.72,0.0,100.76,247.26,163.86,198.18,247.26,99.32,179.97,247.26,69.97,138.23,247.26,69.97,143.01,523.53,69.97,184.33,523.53,31.7,187.34,,"Kingdee International Software Group Co Ltd — инвестиционная холдинговая компания, которая в основном занимается предоставлением облачных услуг и бизнесом по планированию ресурсов предприятия (ERP). Компания осуществляет свою деятельность через три сегмента. Бизнес-сегмент облачных услуг занимается предоставлением корпоративных облачных услуг, облачных услуг для финансирования малого и микробизнеса, а также отраслевых облачных услуг. Сегмент ERP Business and Others занимается продажей программных и аппаратных продуктов, внедрением программного обеспечения, консультированием по программным решениям, обслуживанием, обновлением и другими вспомогательными услугами и т. д. Сегмент инвестиционной недвижимости занимается эксплуатацией инвестиционной недвижимости. Компания в основном ведет свою деятельность на внутреннем рынке.",
262,US,OS,US68278B1070,OS.O,OneStream Inc,5.94147,NSQ,18,Технология,7,Программное обеспечение,0.0,24.0,,24.01,0.0,2.29,27.22,16.51,20.51,30.93,16.51,22.83,35.39,16.51,25.1,35.39,16.51,25.1,35.39,16.51,25.1,35.39,16.51,25.1,,"OneStream, Inc. — поставщик единой программной платформы с поддержкой искусственного интеллекта (ИИ) Digital Finance Cloud. Ее платформа объединяет основные финансовые и более широкие операционные данные и процессы в рамках единой платформы с помощью решений, которые поддерживают целостность корпоративных стандартов финансовой отчетности, одновременно предоставляя оперативную важную информацию для бизнес-пользователей. Его платформа автоматизирует и оптимизирует рабочие процессы, ускоряет анализ и повышает точность прогнозов, позволяя финансовому директору составлять отчеты, прогнозировать и управлять эффективностью бизнеса. Облако цифровых финансов позволяет офису финансового директора формировать комплексное, динамичное и прогнозное представление обо всем предприятии, предоставляя корпоративным руководителям контроль, прозрачность и гибкость, необходимые для активной корректировки бизнес-стратегии и повседневного исполнения. Ее решения включают финансовое закрытие и консолидацию, финансовое и оперативное планирование и анализ, а также финансовую и операционную отчетность.",
268,US,TMICF,JP3637300009,TMICF.PK,Trend Micro Inc,4.95922,PNK,19,Технология,8,Программное обеспечение,0.0,33.1,,0.0,0.0,0.0,65.49,41.3,51.27,71.79,41.3,57.44,71.79,41.3,54.18,71.79,39.56,51.81,71.79,39.56,52.66,71.79,31.32,49.26,,"Trend Micro Inc — японская компания, занимающаяся в основном разработкой, продажей и предоставлением продуктов компьютерной безопасности и сопутствующих услуг. Компания работает в четырех географических сегментах: Япония, Северная Америка, Европа и Азиатско-Тихоокеанский регион. Решения включают в себя управление киберрисками, защиту облачных приложений, защиту гибридных облачных сред и другие. Платформы включают платформы корпоративной кибербезопасности, облачную безопасность, безопасность конечных точек, сетевую безопасность и другие. Услуги включают услуги реагирования на инциденты и другие.",
271,US,USSJY,US90344T1025,USSJY.PK,USS Co Ltd,5.072412,PNK,20,Технология,5,Онлайн-сервисы,0.0,23.75,,23.75,0.0,1.13,25.25,19.72,22.59,25.25,17.45,21.06,25.25,12.2,19.06,25.25,12.2,18.77,25.25,12.2,18.6,25.25,12.2,18.39,,"USS Co Ltd — японская компания, занимающаяся в основном автомобильными аукционами. Компания работает в двух бизнес-сегментах. Сегмент автоаукционов занимается проведением автоаукционов с участием продавцов подержанных автомобилей, управлением мотоциклетными аукционами с участием продавцов подержанных мотоциклов, предоставлением услуг подключения к автоаукционам через спутниковое телевидение и Интернет, предоставлением информационных услуг по подержанным автомобилям, агентством по наземной транспортировке выставленных автомобилей и успешных автомобилей на автоаукционе, а также предоставлением финансовых услуг для участников автоаукциона. Сегмент купли-продажи подержанных автомобилей занимается покупкой и продажей подержанных автомобилей и транспортных средств, пострадавших в авариях. Другой бизнес занимается переработкой подержанных автомобилей, оказанием агентских услуг подержанным автомобилям, продажей систем генерации солнечной энергии и арендой автомобилей, а также производством и продажей переработанного пластика.",
273,US,BYSD,US0731482073,BYSD.PK,Bayside Corp,0.017124,PNK,21,Технология,2,ИТ-услуги и консалтинг,0.0,1.05,,1.05,0.0,0.24,1.43,0.67,0.95,1.43,0.66,0.93,3.16,0.56,1.31,3.16,0.19,1.03,3.16,0.05,0.69,13.5,0.01,1.65,,"Bayside Corporation специализируется на цифровой трансформации и цифровом маркетинге. Компания специализируется на инвестировании в предприятия и продукты в этих секторах, стремясь использовать большие данные и цифровые достижения для создания новых возможностей и повышения акционерной стоимости. Его основная деятельность сосредоточена на цифровых инновациях. Цифровое подразделение компании, ONECARD Global, предлагает комплексную платформу цифровых визитных карточек, предназначенную для удовлетворения потребностей различных профессиональных секторов. Технология ONECARD Global обеспечивает эффективное продвижение и взаимодействие, позволяя пользователям обмениваться контактной информацией простым касанием, тем самым расширяя свою профессиональную сеть и возможности.",
277,US,RPYTF,IT0005282865,RPYTF.PK,Reply SpA,4.055784,PNK,22,Технология,3,ИТ-услуги и консалтинг,0.0,88.98,,0.0,0.0,0.0,144.02,144.0,144.01,144.02,144.0,144.01,155.69,131.0,143.26,155.69,92.97,123.86,210.0,92.97,134.71,210.0,57.66,119.92,,"Reply SpA — итальянская компания, работающая в секторе информационных и коммуникационных технологий. Специализируется на создании и внедрении решений на основе новых сетей связи и цифровых медиа. Он охватывает три области компетенции: процессы, приложения и технологии. По этим трем направлениям компетенции компания предлагает консультации, системную интеграцию и управление приложениями. Компания работает в различных секторах, включая телекоммуникации, коммунальные услуги, средства массовой информации, промышленность и услуги, банки, страховые компании и финансовые операторы, государственное управление и здравоохранение. Он предоставляет свои услуги в основном через шесть платформ доставки услуг: Click Reply, Discovery Reply, Gaia Reply, TamTamy и SideUp Reply. В ноябре 2013 года она приобрела 76% акций Mind Services Informatica LTDA. В декабре 2013 года она приобрела 100% Solidsoft Ltd. 6 декабря 2013 года она завершила слияние путем включения Reply Deutschland AG в Reply SpA.",
289,US,TSYHY,US89420Y2090,TSYHY.PK,TravelSky Technology Ltd,3.633628,PNK,23,Технология,4,ИТ-услуги и консалтинг,0.0,12.62,,13.5,0.0,11.52,16.7,12.3,14.14,16.7,11.3,13.94,17.39,9.5,13.26,23.53,9.5,15.05,27.3,9.5,16.52,34.63,9.5,19.85,,"TravelSky Technology Ltd — китайская компания, которая в основном предоставляет решения в области информационных технологий для авиационной и туристической отрасли. Компания осуществляет свою деятельность в четырех основных сферах деятельности. Службы авиационных информационных технологий предоставляют услуги электронного распределения поездок, услуги систем обработки пассажиров в аэропортах и ​​расширенные услуги информационных технологий, связанные с вышеуказанными видами деятельности. Расчетно-клиринговые службы в основном предоставляют расчетно-клиринговые услуги, услуги по разработке и поддержке информационных систем, а также финансовые услуги для авиаперевозок для авиакомпаний. Услуги информационных технологий по распространению в основном обеспечивают прямые связи и связи с коммерческими авиакомпаниями в различных регионах мира через Интернет. Службы информационных технологий аэропорта обеспечивают регистрацию, трансфер, интерлайн-услуги и другие. Компания также предоставляет другие услуги в области информационных технологий.",
301,US,MCARY,US5875731060,MCARY.PK,Mercari Inc,4.009628,PNK,24,Технология,6,Онлайн-сервисы,0.0,12.26,,12.55,0.0,2.34,10.6,6.88,8.14,10.6,4.91,7.82,10.6,4.91,7.33,13.42,4.91,8.33,31.97,4.91,14.07,31.97,4.91,14.31,,"Mercari Inc — японская компания, которая в основном занимается эксплуатацией платформ потребитель-потребитель (CtoC). Компания работает в двух сегментах. Сегмент «Японский регион» управляет Marketplace, который управляет приложением блошиного рынка Mercari в Японии, а также предприятиями, связанными с платежами, финансами и криптовалютами, в Японии. Сегмент США управляет приложением блошиного рынка Mercari в США. Компания также занимается спортивным бизнесом и другими видами деятельности.",
323,US,FORTY,US3464141056,FORTY.O,Formula Systems 1985 Ltd,2.058375,NSQ,25,Технология,5,ИТ-услуги и консалтинг,0.0,132.48,,141.0,0.0,91.0,190.56,107.65,138.82,190.56,80.15,114.04,190.56,60.39,96.75,190.56,55.97,87.24,190.56,55.97,91.72,190.56,23.54,74.67,,"Formula Systems (1985) Ltd. (Формула) — глобальная холдинговая компания, занимающаяся решениями и услугами в области информационных технологий (ИТ). Компания через свои дочерние и дочерние компании, находящиеся в непосредственном владении, занимается предоставлением программных решений и услуг, маркетингом и поддержкой программных продуктов, компьютерной инфраструктурой и интеграционными решениями, а также обучением и интеграцией. Компания работает в двух сегментах: услуги по программному обеспечению и профессиональные ИТ-услуги. Сегмент программных услуг развивает рынки, продает и поддерживает платформу приложений, программные приложения, решения для интеграции бизнеса и процессов, а также сопутствующие услуги. Сегмент профессиональных ИТ-услуг предлагает ИТ-услуги в области проектирования и доставки инфраструктуры, разработки приложений, услуг по планированию и внедрению технологий, коммуникационных услуг и решений, а также дополнительные аутсорсинговые услуги.",
